1618438,Elara Caring - Ada,2020 Arlington Suite 5,OK,ADA,74820,Ada Micropolitan Statistical Area,a@a.com,Freemium
1623745,Cvs caremark,-,NY,-,10016,New York-Newark-Jersey City,abc@abc.com,Not Using
1646670,National Care Orthotics,8808 Gudson Pkwy ,NY ,Bronx ,10471,New York-Newark-Jersey City,a@a.com,Not Using
1644319,Hoveround Corporation,"6015 31st Street East, Suite 201 ",FL  ,Bradenton,34203,North Port-Sarasota-Bradenton,info@hoveround.com,Not Using
1636509,180 Medical Inc.,"8516 Northwest Expy,  ",OK ,Oklahoma City,73162,Oklahoma City,a@a.com,Not Using
1619214,Lifeline Home Health,Po Box 1348 ,ok,chickasha ,75023,Oklahoma City,,Not Using
1649258,Rotech Healthcare Respiratory Orlando FL,3600 Vineland Rs Suite 114 ,FL ,Orlando ,32811,Orlando-Kissimmee-Sanford,a@a.com,Not Using
1643248,Aveanna Healthcare –Media,"1400 North Providence Road, #300 , ",PA ,Media,19063,Philadelphia-Camden-Wilmington,a@a.com,Not Using
1646014,Star Medical DBA Ethos Therapy Solutions,"930 Harvest Dr., Suite 400, ",PA ,Blue Bell,19422,Philadelphia-Camden-Wilmington,a@a.com,Not Using
1620984,Fox Rehabilitation ,"7 Carnegie Plaza,  ",NJ ,Cherry Hill,8003,Philadelphia-Camden-Wilmington,.,Not Using
1649498,"AdaptHealth Plymouth Meeting,PA",220 W Germantown Pike Suite 250 ,PA ,Plymouth Meeting,19462,Philadelphia-Camden-Wilmington,a@a.com,Not Using
1648736,"Adapthealth Patient Care Solution Beaver,PA","1301 Riverside Drive ,",PA ,Beaver,15009,Pittsburgh,a@a.com,Not Using
1634336,AdaptHealth Patient Care Solutions Moon Township,540 Lindbergh Drive ,PA ,Moon Township ,15108,Pittsburgh,a@a.com,Not Using
1645017,CHC Solutions  ,162 Industry Drive,PA,Pittsburgh,15275,Pittsburgh,a@a.com,Not Using
1646682,Tobii Dynavox,"2100 Wharton Street Suite 400 , ",PA ,Pittsburgh,15203,Pittsburgh,support.na@tobiidynavox.com,Not Using
1634230,Activa Health Services dba Activa Home Health-Hobe Sound,8130 SE Federal Hwy ,FL ,Hobe Sound,33455,Port St. Lucie,a@a.com,Not Using
1631841,"Doctor's Choice Home Care, Inc.-Stuart","10 SE Central Parkway, Suite 150 ",FL,Stuart,34994,Port St. Lucie,a@a.com,Freemium
1642912,Concierge Home Care Port St. Lucie,1840 SE Port Saint Lucie Boulevard,FL,-,34952,Port St. Lucie,a@a.com,Not Using
1634270,The Roads Home Health-Jensen Beach,638 NE Jensen Beach Blvd ,FL,Jensen Beach,34957,Port St. Lucie,a@a.com,Order360 Lite
1632842,A Visiting Redi-Nurse-Port St. Lucie,155 SW Port St. Lucie Blvd.  Ste No.106 ,FL,Port Saint Lucie,34984,Port St. Lucie,a@a.com,Freemium
1632840,South Port St Lucie-Kindred at Home,525 NW Lake Whitney Place Suite 106 ,FL,Port Saint Lucie,34986,Port St. Lucie,a@a.com,Freemium
1631842,Trilogy Home Healthcare – Port St. Lucie ,291 NW PEACOCK BLVD,FL,-,34986,Port St. Lucie,a@a.com,Freemium
1631858,Aloha Home Care LLC DBA ACHH of Port St Lucie,548 University Blvd #101 ,FL,Port Saint Lucie,34986,Port St. Lucie,a@a.com,Freemium
1634053,Options Home Health Port St. Lucie,160 Northwest Central Park Plaza Suite 101,FL,Port Saint Lucie,34986,Port St. Lucie,a@a.com,Freemium
1642958,Interim Healthcare of the Treasure Coast,"6905 NW LTC Parkway, Port Saint Lucie, FL ",FL,Port Saint Lucie,34986,Port St. Lucie,a@a.com,Not Using
1623728,Nurse On Call Port St Lucie ,590 NW peacock Blvd suite 12,FL,Port St Lucie,34986,Port St. Lucie,abc@abc.com,Not Using
1620164,Visiting Nurse Association of Florida Stuart,2400 SE Monterey Road,FL,Stuart,34997,Port St. Lucie,a@a.com,Not Using
1621348,Home Care Delivered Inc.,4144 Innslake Drive ,VA ,Glen Allen ,23060,Richmond,.,Not Using
1622760,Aseracare Hospice Richmond IN,4427 Garwood Place ,IN ,Richmond ,47374,Richmond,.,Not Using
1623786,REID ANC HOME CARE SERVICES LLC,4180 SOUTH A STREET  ,-,-,47374,Richmond Micropolitan Statistical Area,abc@abc.com,Not Using
1624453,Byram Healthcare-Salt Lake City ,645 East 4500 South Ste 200 ,UT ,Salt Lake City ,84107,Salt Lake City,abc@abc.com,Not Using
1621569,KCI An Acelity Company,"P.O. Box 659508 , ",TX ,San Antonio,78265,San Antonio-New Braunfels,.,Not Using
1644443,Amerita Specialty Infusion Services ,"6015 Randolph Blvd,  ",TX,San Antonio,78233,San Antonio-New Braunfels,a@a.com,Not Using
1637918,Solara Medical Supplies,"2084 Otay Lakes Rd #102, ",CA ,Chula Vista,91913,San Diego–Chula Vista–Carlsbad,a@a.com,Not Using
1623832,Advanced Diabetes Supply,2544 Campbell Pl # 150,CA ,Carlsbad,92009,San Diego–Chula Vista–Carlsbad,abc@abc.com,Not Using
1623729,HCA HOME HEALTH CARE. Vero Beach,1849 25TH ST ,FL,Vero Beach,32960,Sebastian–Vero Beach,abc@abc.com,Not Using
1642494,Mederi Caretenders Vero Beach,603 17th Street ,FL ,Vero Beach ,32960,Sebastian–Vero Beach,a@a.com,Not Using
1635300,VNA Indian River County Office,"1110 35th Lane ,  ",FL,Vero Beach,32960,Sebastian–Vero Beach,a@a.com,Not Using
1644194,NHC Homecare Vero Beach,946 16th place ,FL ,Vero Beach,32960,Sebastian–Vero Beach,a@a.com,Not Using
1645565,"Amedisys Home Health Care (5552)Pulaski,TN",1127 E. College Street Suite B ,TN ,Pulaski,38478,Shelbyville Micropolitan Statistical Area,a@a.com,Not Using
1646112,BioTAB Healthcare,11701 Borman Drive Ste. 107 ,MO ,St. Louis,63146,St. Louis,a@a.com,Not Using
1630649,EmpowerMe Rehabilitation St. Louis,"300 Hunter Ave, Suite 200 ",MO ,St. Louis,63124,St. Louis,klewis@empowermewellness.com,Not Using
1636508,Express Scripts Home Delivery,4600 North Hanley Rd   ,MO,St Louis,63134,St. Louis,a@a.com,Not Using
1619246,CCS Medical-Clearwater,"14255 49th Street North, Suite 301 ",FL,Clearwater,33762,Tampa-St. Petersburg-Clearwater,.,Not Using
1646572,Healthcare HD,1281 San Christopher Drive,FL,Dunedin,34698,Tampa-St. Petersburg-Clearwater,a@a.com,Not Using
1641770,Pinnacle Home Care Inc (Pasco),"2505 Seven Springs Blvd , ",FL ,Trinity,34655,Tampa-St. Petersburg-Clearwater,gbatista@pinnaclehomecare.net,Not Using
1647439,Golden Heart Health Services Haute,3313 S. 7th Street Terre ,IN ,Haute ,47802,Terre Haute,a@a.com,Not Using
1643201,Total Medical Supply,"4310 McKnight Rd, ",TX ,Texarkana,75503,Texarkana,a@a.com,Not Using
1645590,Amedisys Home Health Care (0519)Winchester,"107 North Porter St, Suite 3",TN ,Winchester,37398,Tullahoma-Manchester Micropolitan Statistical Area,a@a.com,Not Using
1645703,"Enhabit Home Health Winchester, TN",2068 Cowan Highway,TN ,Winchester,37398,Tullahoma-Manchester Micropolitan Statistical Area,a@a.com,Not Using
1645982,Independent Home Medical Equipment Tullahoma,"1905 N Jackson St Ste 280,",TN ,Tullahoma,37388,Tullahoma-Manchester Micropolitan Statistical Area,a@a.com,Not Using
1646681,"Adoration Home Health – Manchester, Tennessee","220 E Main Street , ",Tennessee ,Manchester,37355,Tullahoma–Manchester,a@a.com,Not Using
1646206,SunCrest Home Health Manchester,121 North Irwin Street,TN,Manchester ,37355,Tullahoma–Manchester,a@a.com,Not Using
1620020,Clay County Home Health Care Henrietta,310 West South Street  ,TX,Henrietta,76365,Wichita Falls,a@a.com,Order360 Lite
